INFO 2021-09-25 16:19:01,385 basehttp 161 "GET /static/jquery/jquery.min.js HTTP/1.1" 304 0
INFO 2021-09-25 16:19:01,398 basehttp 161 "GET /static/highlight/highlight.pack.js HTTP/1.1" 304 0
INFO 2021-09-25 16:19:01,400 basehttp 161 "GET /static/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 0
INFO 2021-09-25 16:19:01,401 basehttp 161 "GET /static/temporary-img/recommended-left.jpg HTTP/1.1" 304 0
INFO 2021-09-25 16:19:01,405 basehttp 161 "GET /static/temporary-img/recommended.jpg HTTP/1.1" 304 0
INFO 2021-09-25 16:19:01,406 basehttp 161 "GET /static/img/logo.jpg HTTP/1.1" 304 0
INFO 2021-09-25 16:19:01,410 basehttp 161 "GET /static/temporary-img/recommended-right.jpg HTTP/1.1" 304 0
INFO 2021-09-25 16:19:01,412 basehttp 161 "GET /static/temporary-img/list-image1.jpg HTTP/1.1" 304 0
INFO 2021-09-25 16:19:01,415 basehttp 161 "GET /static/temporary-img/list-image2.jpg HTTP/1.1" 304 0
INFO 2021-09-25 16:19:01,415 basehttp 161 "GET /static/temporary-img/list-image3.jpg HTTP/1.1" 304 0
INFO 2021-09-25 16:19:01,420 basehttp 161 "GET /static/temporary-img/code.jpg HTTP/1.1" 304 0
INFO 2021-09-25 16:19:01,423 basehttp 161 "GET /static/temporary-img/list-right.jpg HTTP/1.1" 304 0
INFO 2021-09-25 16:19:01,514 basehttp 161 "GET /static/font-awesome/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 304 0
